,Datetime,Tweet Id,Text,Username
94,2022-11-12 23:52:51+00:00,1591579810354327553,  Israel Adesanya,SuroTani
95,2022-11-12 23:52:48+00:00,1591579799448915969," You heard, or you researched these things? It’s a book called the ten tribes of Israel by Timothy R Jenkins detailing the customs of the pre Colombian “Americans” by people who observed them.",DroseHuncho
96,2022-11-12 23:52:47+00:00,1591579794637979649,"Israel Adesanya and Alex Pereira are facing off for UFC 281’s main event tonight at 10PM

Who do you think will win? ",6ixbuzztv
97,2022-11-12 23:52:47+00:00,1591579792737968130, Jij zit vuistdiep in Israel. Je was 100 jaar een vvdr een nachje slapen en bent een SPr met een haat jegens Islam. Islam moet zwart gemaakt worden voor u vrienden. De hypocrisi breekt u op. Stop er mee meneer Wilders.,steen1889
98,2022-11-12 23:52:46+00:00,1591579788002877440," Bicho, eu já fui pra show do safadao e Israel Novaes por 25 e olhe q ele já tinha estourado nacionalmente",spiridiguiberto
99,2022-11-12 23:52:44+00:00,1591579780222455808, This is Israel. I bet the muslim wouldn’t want to live anywhere else in the middle east. And the jew can’t live anywhere else.,thd_13
100,2022-11-12 23:52:39+00:00,1591579761377415170,31  360fr Oui oui vous êtes des hypocrites vous commercez directement avec eux. Algeria to Israel c’est quoi que tu comprends pas ? Il est où ton intermédiaire ?,Mohamed26290
101,2022-11-12 23:52:24+00:00,1591579696457826307, Israel ain’t a country it’s a colony my little monkey ,eirefourtwenty
102,2022-11-12 23:52:20+00:00,1591579680901332992," Trial transcript shows that Kafr Qasem massacre was a plan by Israel to start another ethnic-cleansing (naqba) during 1956 war
",WestartWD
103,2022-11-12 23:52:09+00:00,1591579634420047874,"Going crazy Tn with a easy ufc parlay ————————————————— Poirer win , Israel win, Dan hooker win.     1k——&gt; $3516",YoungboyGod123
104,2022-11-12 23:52:09+00:00,1591579633568616448,  It's a good thing if you care about Israel because Biden can destroy Bibi and his fascist government.  It isn't such a good thing in the US because if the Democrats win the Congress they might try to do bad and crazy things here.,chitowngirl1982
105,2022-11-12 23:52:06+00:00,1591579622394699776,"1  Israel to this day has never actually declared what its borders are. It is occupying the WB and Golan Heights. You can cry about the evil Arabs all you want, it won't change the truth. Israel is the aggressor.",BrokeMelo
106,2022-11-12 23:51:57+00:00,1591579584767692800, Graças aos Judeus temos JESUS AMAMOS ISRAEL  E JESUS VIRÁ não somente pra nós cristãos quê reconhecemos  é recebemos JESUS como único SENHOR É SALVADOR de nossas vidas mais para nossos irmãos Judeus ortodoxos,RaquelR43090710
107,2022-11-12 23:51:56+00:00,1591579580602912768," palestinos enfrentam ameaça de demolição de casas nos territórios ocupados por Israel
",RadioProletrio
108,2022-11-12 23:51:54+00:00,1591579569467052032,  Being anti-israel is not antisemitic wtf?,letskeepit100yo
109,2022-11-12 23:51:43+00:00,1591579523748958208,"   is liberal and progressive except on Israeli apartheid regime, he is eloquent on Iran’s rogue regime but on Israel,he is on the wrong side and active supporter of Israeli apartheid regime’s all illegal actions against Palestinians, for him PAL life has no value!",Mohamme56433185
110,2022-11-12 23:51:41+00:00,1591579516715122691,fandom deveria pesquisar mais sobre tudo o que israel já fez contra a palestina antes de ficar passando mão na cabeça de macho velho que fica apoiando governo genocida e que ainda faz questão de tirar foto com general estuprador,hlomsjonskz
111,2022-11-12 23:51:38+00:00,1591579504182710272,1 Is Israel fighting tonight?,fanara_xmeg
112,2022-11-12 23:51:37+00:00,1591579499493494785,Saul Alpern survived the Holocaust with his younger brother - their parents and two older siblings didn’t. His brother died in Israel’s War of Independence while Saul came here and later wrote one of the 1st books documenting the Nazi genocide RIP wfp ,KevinRollason
113,2022-11-12 23:51:25+00:00,1591579448767291398,"   October 27 2022 is out of date . Nazis only appeared in Ukraine in November 2022.  

Is that right? Cause there’s no way Israel would send aid to Ukraine knowing its run by Nazis. Right?",MailS
114,2022-11-12 23:51:15+00:00,1591579408669999104,"MMA Streams TV1

  1

Watch UFC 281 Fight Live Streams Online Free

Israel Adesanya vs Alex Pereira
Esparza vs Weili
Poirier vs Chandler
Edgar vs Gutierrez
Hooker vs Puelles
Riddell vs Moicano
Reyes vs Spann ",ChongMatthew1
115,2022-11-12 23:51:12+00:00,1591579394228817920, Gorriarán  no llega Israel Reyes al américa,aldasoro_omar
116,2022-11-12 23:51:10+00:00,1591579385290784770,1  You are a liar but I expect nothing better from zionists. Israel didn't declare any borders or that its state would remain within the UN partitioned borders which the UN had no right to set anyway. The declaration didn't declare what Israel's borders are,BrokeMelo
117,2022-11-12 23:51:07+00:00,1591579372921753600,"   Es bastante cierto lo que decís, los nacionalistas yankis actuales ni fu ni fa con el regimen demo liberal gobernante. No planean ni piensan ir a morir por Israel ni por un oficial que usa falda. No van a morir por un pais que los odia. No por nada gran-",manuelnoriega64
118,2022-11-12 23:50:59+00:00,1591579340122234881," 45521419 They completely control Gaza, land and sea, imports, exports, even population registry. Deny rights even to sufficient food, water, electricity supplies. Yes, you'll surely cry, ""What about Egypt, Rafah"" while Israel pressures Egypt on that.
What about West Bank, E. Jerusalem?",daggerhaft
119,2022-11-12 23:50:52+00:00,1591579310242295809,"    I think he’s right, if we did this to them to flood Israel they’d be going nuts. To many of their organisations are involved in this and they do it against the will of the western countries majority’s to stop it.
",vix000
120,2022-11-12 23:50:51+00:00,1591579306731487232, 1 List what Israel has given to Ukraine.,MalarzKominow
121,2022-11-12 23:50:50+00:00,1591579304336711680,"5 International chor declared by UK government..
Shehbaz Shareef.
Sent two delegations to Israel..
Appointing Pakistan Army chief with big brother in England who is a declared Chor and absconderer, 
Pro US, Israel , avoided China and Russia .",Zainab69396870
122,2022-11-12 23:50:45+00:00,1591579283612643329,"Must bet oddsboost on Fanduel: 

Israel Adesanya and Dustin Poirer to each win by either KO/TKO or points boosted to +250. 

The 0 vig line is ~+210 (loses % of the time) giving this a ~+% EV! 

Bet it now! ",ThePromoguy123
123,2022-11-12 23:50:42+00:00,1591579269591097344,26290  360fr Ptn mais tu sais pas lire tu penses que Israël va nous financer alors qu’on leur pisse dessus en les reconnaissant même pas . Tu crois que les chef Palestiniens vont dire que l’Algérie est le pays qui les aide le plus dans ce cas là ? Réfléchie mdr 🤡🤡🤡 ,reacdem31
124,2022-11-12 23:50:42+00:00,1591579269095899138,"21_  10Aug 1978 333   I shared a published paper from Israel. If you have an issue with that paper, take it up with its authors.",loo_louby
125,2022-11-12 23:50:30+00:00,1591579220211286016,"   623 LMFAO that's not a fact that was a prediction. According to historians the Bible has very tiny fragments of history included in it and a very little genuine history, the Bible also does not meet the standards for source reliability",AndrewLerner16
126,2022-11-12 23:50:27+00:00,1591579205782970368,Messianic Jewish Alliance of Israel - El Dmut Yeshua(Be More Like Yeshua),BattleAxeRadio1
127,2022-11-12 23:50:16+00:00,1591579160182657024,Biblical and Modern Israel. At The Foot of Jerusalem. Ayalon Canada Park ,Joy_Harp1
128,2022-11-12 23:50:14+00:00,1591579152221896705, 155 86870358 3  UK citizens cannot vote in Israel. Why would Israelis be allowed to vote in the UK?,LisaMil36579884
129,2022-11-12 23:50:11+00:00,1591579138241925122,"Qatar official: 'Agreement to transport Palestine, Israel fans through Ben Gurion Airport should not be politicised' ",MiddleEastMnt
130,2022-11-12 23:50:06+00:00,1591579117597896704,"1   . 'Ziggy' Stone publiceerde de leugens rondom de Vietnam oorlog, voorspelde de dreiging van een jonge Hitler, de gebeurtenissen in Israel, verzette zich tegen racisme door te lunchen met een donkere man, ontmoette meermaals zijn opmerkelijke nieuws weekblad fan Einstein, etc.",RemcoTensen
131,2022-11-12 23:50:03+00:00,1591579104658456576,Israel introduceert autonome urban combat Search &amp; Destroy drone LANIUS ,dronepilotsnl
132,2022-11-12 23:49:59+00:00,1591579089105813504,"With the major political crises in the area that goes from Kabul to Cairo via Iran, Lebanon and Israel, what a geopolitical risk in the Persian Gulf area. What are the interests at stake. What are the geopolitical and security trends in the wider WestAsian region?
Ukraine ",AIdreessy
133,2022-11-12 23:49:58+00:00,1591579086064943104,28 17 israel gonzalez ???,LeonMZ3
134,2022-11-12 23:49:55+00:00,1591579072240517131,"1  I didn't't re-write anything. You are outright lying. There is no evidence Egypt was going to attack, Israeli generals admit that, Israel attacked first. You are trying to re-write history to be more charitable to Israel.",BrokeMelo
135,2022-11-12 23:49:55+00:00,1591579070130978818,"  Meanwhile in the land protected by the FascistApartheidIsrael lobby, devotee of rabbi Kahane  elected to Knesset

according to Israeli , Kahane stated ""killing of Israel enemies is an act of worship"" hence assassination of ShireenAbuAkleh by  thug",accouder
136,2022-11-12 23:49:54+00:00,1591579068398460929,"UFC 281 Israel Adesanya vs Alex Pereira live updates, ",realnewshubs
137,2022-11-12 23:49:47+00:00,1591579036597506048,"1) It takes courage,compassion,Fairness &amp; humanity to go after Israel &amp; its criminal zionists as I've been doing!This world has changed!Nobody should be afraid to speak out against what's wrong &amp; Unacceptable:cruelty in Palestine!
K. Irving:Not lining up with cowards to lynch him ",sergebrdon
138,2022-11-12 23:49:47+00:00,1591579036425265154,ISRAEL- TIERRA ESCOGIDA: EL HOLOCAUSTO (NINGÚN SENTIDO RACIONAL) (LA BATALL... ,AlejandroLouis9
139,2022-11-12 23:49:35+00:00,1591578987310219264,ISRAEL- TIERRA ESCOGIDA: ISRAEL ES INSUPERABLE EN MUCHOS ASPECTOS (RIQUEZAS... ,AlejandroLouis9
140,2022-11-12 23:49:32+00:00,1591578976488935424," I nie wiem jak się zapatrywać na te walkę, Israel od kilku walk jest taki zachowawczy i punktuje w stójce ale teraz ma gościa który w stójce może być lepszy od niego.",tmzzzk
141,2022-11-12 23:49:32+00:00,1591578973355773953," Igual de bárbara a esa de ""por menos se fueron Lillo, Lunari, Israel y Pinto"" ",Miilokorrea
142,2022-11-12 23:49:30+00:00,1591578969073410048," 1   You should write:
Ukraine is fed up with Israel's failure to provide aid, while Israel's supporters are angry at Ukraine's reciprocity.",christin_stile
143,2022-11-12 23:49:25+00:00,1591578946138955776,"Israel Alex Pereira UFC281 ZBoxing

Live Stream 
Israel Adesanya vs  Alex Pereira Boxing live

LIVE LINK 1: 
LIVE LINK 2: 

===ytfi87i",Watch280
144,2022-11-12 23:49:24+00:00,1591578939994116096,ISRAEL- TIERRA ESCOGIDA: EL REGRESO VISIBLE DEL SEÑOR EN SU GLORIA Y EL MON... ,AlejandroLouis9
145,2022-11-12 23:49:21+00:00,1591578928766124032,I'm a servant of God and a given prophet to the nations I got my power through God of Israel I got my power through preaching the Bible to join foreigners gods is impossible even the God almighty of Israel himself cannot not leave me to live on this earth. ,JamesAguer11
146,2022-11-12 23:49:18+00:00,1591578915994488833,"Israel Alex Pereira UFC281 ZBoxing

Live Stream 
Israel Adesanya vs  Alex Pereira Boxing live

LIVE LINK 1: 
LIVE LINK 2: 

===tesr6t7",Watch280
